Path,Size
web/src/hooks.client.ts,1096
web/static/apple-icon-180.png,6358
web/static/favicon-144.png,5067
web/static/favicon-16.png,618
web/static/favicon-32.png,1181
web/static/favicon-48.png,1751
web/static/favicon-96.png,3446
web/static/favicon.ico,15086
web/static/favicon.png,17141
web/static/feature-panel.png,776346
web/static/immich-logo.svg,2046
web/static/manifest-icon-192.maskable.png,5198
web/static/manifest-icon-512.maskable.png,13544
web/static/manifest.json,813
web/static/robots.txt,69
cli/src/commands/asset.ts,10956
cli/src/commands/auth.ts,1348
cli/src/commands/server-info.ts,1018
docs/blog/2023/2023-recap.mdx,3682
docs/blog/2024/immich-core-team-goes-fulltime.mdx,4066
docs/docs/administration/_category_.json,49
docs/docs/administration/backup-and-restore.md,9578
docs/docs/administration/email-notification.mdx,969
docs/docs/administration/jobs-workers.md,2101
docs/docs/administration/oauth.md,11217
docs/docs/administration/postgres-standalone.md,3690
docs/docs/administration/repair-page.md,1321
docs/docs/administration/reverse-proxy.md,2278
docs/docs/administration/server-commands.md,2153
docs/docs/administration/server-stats.md,425
docs/docs/administration/storage-template.mdx,108
docs/docs/administration/system-settings.md,10838
docs/docs/administration/user-management.mdx,3286
docs/docs/developer/_category_.json,44
docs/docs/developer/architecture.mdx,6389
docs/docs/developer/database-migrations.md,605
docs/docs/developer/directories.md,1449
docs/docs/developer/open-api.md,1024
docs/docs/developer/pr-checklist.md,1383
docs/docs/developer/setup.md,4251
docs/docs/developer/testing.md,531
docs/docs/developer/troubleshooting.md,856
docs/docs/features/_category_.json,43
docs/docs/features/automatic-backup.md,1806
docs/docs/features/command-line-interface.md,6014
docs/docs/features/facial-recognition.md,1054
docs/docs/features/hardware-transcoding.md,5824
docs/docs/features/libraries.md,12794
docs/docs/features/ml-hardware-acceleration.md,5124
docs/docs/features/mobile-app.mdx,904
docs/docs/features/monitoring.md,6156
docs/docs/features/partner-sharing.md,2073
docs/docs/features/reverse-geocoding.md,679
docs/docs/features/shared-albums.md,8289
docs/docs/features/smart-search.md,2143
docs/docs/features/supported-formats.md,2559
docs/docs/features/user-settings.md,558
docs/docs/features/xmp-sidecars.md,2104
docs/docs/guides/_category_.json,41
docs/docs/guides/custom-locations.md,2838
docs/docs/guides/custom-map-styles.md,2010
docs/docs/guides/database-gui.md,1644
docs/docs/guides/database-queries.md,3497
docs/docs/guides/docker-help.md,747
docs/docs/guides/external-library.md,3055
docs/docs/guides/python-file-upload.md,930
docs/docs/guides/remote-access.md,4723
docs/docs/guides/remote-machine-learning.md,1814
docs/docs/guides/smtp-gmail.md,936
docs/docs/guides/template-backup-script.md,4599
docs/docs/install/_category_.json,42
docs/docs/install/all-in-one.md,494
docs/docs/install/config-file.md,3814
docs/docs/install/docker-compose.mdx,5040
docs/docs/install/environment-variables.md,14650
docs/docs/install/kubernetes.md,638
docs/docs/install/portainer.md,1633
docs/docs/install/post-install.mdx,865
docs/docs/install/requirements.md,1347
docs/docs/install/script.md,1158
docs/docs/install/truenas.md,8940
docs/docs/install/unraid.md,7625
docs/docs/overview/Comparison.md,518
docs/docs/overview/_category_.json,43
docs/docs/overview/help.md,483
docs/docs/overview/introduction.mdx,1719
docs/docs/overview/quick-start.mdx,2576
docs/docs/overview/support-the-project.md,928
docs/docs/partials/_mobile-app-backup.md,466
docs/docs/partials/_mobile-app-download.md,356
docs/docs/partials/_mobile-app-login.md,193
docs/docs/partials/_register-admin.md,449
docs/docs/partials/_storage-template.md,2266
docs/docs/partials/_user-create.md,747
docs/src/components/community-guides.tsx,2578
docs/src/components/community-projects.tsx,3445
docs/src/components/timeline.tsx,3472
docs/src/components/version-switcher.tsx,1711
docs/src/css/custom.css,1649
docs/src/pages/index.tsx,3337
docs/src/pages/roadmap.tsx,21582
docs/static/img/cloud-done.svg,756
docs/static/img/cloud-off.svg,799
docs/static/img/cloud.svg,545
docs/static/img/color-logo.png,47506
docs/static/img/favicon.ico,1150
docs/static/img/favicon.png,6358
docs/static/img/google-play-badge.png,4904
docs/static/img/immich-logo-inline-dark.png,58890
docs/static/img/immich-logo-inline-light.png,58826
docs/static/img/immich-logo-stacked-dark.svg,5665
docs/static/img/immich-logo-stacked-light.svg,5665
docs/static/img/immich-logo.svg,2053
docs/static/img/immich-screenshots.png,1875922
docs/static/img/ios-app-store-badge.png,72110
docs/static/img/ios-app-store-badge.svg,10804
machine-learning/ann/export/.gitignore,15
machine-learning/ann/export/build-converter.sh,333
machine-learning/ann/export/download-armnn.sh,278
machine-learning/ann/export/env.yaml,6463
machine-learning/ann/export/run.py,5046
machine-learning/app/models/__init__.py,1726
machine-learning/app/models/ann.py,2196
machine-learning/app/models/base.py,9610
machine-learning/app/models/cache.py,2134
machine-learning/app/models/constants.py,1736
machine-learning/app/models/session.py,0
machine-learning/app/models/transforms.py,2127
machine-learning/export/models/__init__.py,0
machine-learning/export/models/mclip.py,2607
machine-learning/export/models/openclip.py,3964
machine-learning/export/models/optimize.py,1342
machine-learning/export/models/util.py,439
mobile/android/app/build.gradle,3100
mobile/android/fastlane/Appfile,102
mobile/android/fastlane/Fastfile,1344
mobile/android/fastlane/README.md,827
mobile/android/fastlane/report.xml,513
mobile/assets/i18n/ar-JO.json,41633
mobile/assets/i18n/ca-CA.json,32106
mobile/assets/i18n/cs-CZ.json,35951
mobile/assets/i18n/da-DK.json,34868
mobile/assets/i18n/de-DE.json,36059
mobile/assets/i18n/el-GR.json,41734
mobile/assets/i18n/en-US.json,33352
mobile/assets/i18n/es-ES.json,36740
mobile/assets/i18n/es-MX.json,36286
mobile/assets/i18n/es-PE.json,36267
mobile/assets/i18n/es-US.json,36392
mobile/assets/i18n/fi-FI.json,35981
mobile/assets/i18n/fr-CA.json,36815
mobile/assets/i18n/fr-FR.json,37744
mobile/assets/i18n/he-IL.json,39356
mobile/assets/i18n/hi-IN.json,35869
mobile/assets/i18n/hu-HU.json,36855
mobile/assets/i18n/it-IT.json,35712
mobile/assets/i18n/ja-JP.json,38373
mobile/assets/i18n/ko-KR.json,36281
mobile/assets/i18n/lt-LT.json,33352
mobile/assets/i18n/lv-LV.json,36853
mobile/assets/i18n/mn.json,33505
mobile/assets/i18n/nb-NO.json,34510
mobile/assets/i18n/nl-NL.json,35197
mobile/assets/i18n/pl-PL.json,36016
mobile/assets/i18n/pt-BR.json,9401
mobile/assets/i18n/pt-PT.json,36001
mobile/assets/i18n/ro-RO.json,36538
mobile/assets/i18n/ru-RU.json,48497
mobile/assets/i18n/sk-SK.json,35894
mobile/assets/i18n/sl-SI.json,35730
mobile/assets/i18n/sr-Cyrl.json,33352
mobile/assets/i18n/sr-Latn.json,34106
mobile/assets/i18n/sv-FI.json,33352
mobile/assets/i18n/sv-SE.json,35045
mobile/assets/i18n/th-TH.json,48644
mobile/assets/i18n/uk-UA.json,47532
mobile/assets/i18n/vi-VN.json,38300
mobile/assets/i18n/zh-CN.json,32173
mobile/assets/i18n/zh-Hans.json,32173
mobile/assets/i18n/zh-TW.json,33352
mobile/fonts/overpass/Overpass-Bold.ttf,170564
mobile/fonts/overpass/Overpass-Italic.ttf,154332
mobile/fonts/overpass/Overpass-Medium.ttf,170328
mobile/fonts/overpass/Overpass-Regular.ttf,170204
mobile/fonts/overpass/Overpass-SemiBold.ttf,170064
mobile/fonts/overpass/OverpassMono.ttf,260664
mobile/integration_test/module_login/login_input_validation_test.dart,1433
mobile/integration_test/module_login/login_test.dart,1479
mobile/integration_test/test_utils/general_helper.dart,2373
mobile/integration_test/test_utils/login_helper.dart,2416
mobile/ios/Flutter/AppFrameworkInfo.plist,774
mobile/ios/Flutter/Debug.xcconfig,107
mobile/ios/Flutter/Release.xcconfig,109
mobile/ios/Runner.xcodeproj/project.pbxproj,25148
mobile/ios/Runner.xcworkspace/contents.xcworkspacedata,224
mobile/ios/Runner/AppDelegate.swift,1862
mobile/ios/Runner/Info.plist,4142
mobile/ios/Runner/Runner-Bridging-Header.h,38
mobile/ios/Runner/Runner.entitlements,181
mobile/ios/Runner/RunnerProfile.entitlements,246
mobile/ios/ci_scripts/ci_post_clone.sh,674
mobile/ios/fastlane/Appfile,236
mobile/ios/fastlane/Fastfile,873
mobile/ios/fastlane/README.md,692
mobile/ios/fastlane/report.xml,918
mobile/lib/constants/errors.dart,261
mobile/lib/constants/immich_colors.dart,244
mobile/lib/constants/locales.dart,1937
mobile/lib/entities/README.md,67
mobile/lib/entities/album.entity.dart,5127
mobile/lib/entities/album.entity.g.dart,51237
mobile/lib/entities/android_device_asset.entity.dart,279
mobile/lib/entities/android_device_asset.entity.g.dart,13568
mobile/lib/entities/asset.entity.dart,15840
mobile/lib/entities/asset.entity.g.dart,90470
mobile/lib/entities/backup_album.entity.dart,416
mobile/lib/entities/backup_album.entity.g.dart,18669
mobile/lib/entities/device_asset.entity.dart,159
mobile/lib/entities/duplicated_asset.entity.dart,254
mobile/lib/entities/duplicated_asset.entity.g.dart,12886
mobile/lib/entities/etag.entity.dart,356
mobile/lib/entities/etag.entity.g.dart,20833
mobile/lib/entities/exif_info.entity.dart,4665
mobile/lib/entities/exif_info.entity.g.dart,79872
mobile/lib/entities/ios_device_asset.entity.dart,413
mobile/lib/entities/ios_device_asset.entity.g.dart,21489
mobile/lib/entities/logger_message.entity.dart,995
mobile/lib/entities/logger_message.entity.g.dart,36915
mobile/lib/entities/store.entity.dart,7026
mobile/lib/entities/store.entity.g.dart,16291
mobile/lib/entities/user.entity.dart,6257
mobile/lib/entities/user.entity.g.dart,55454
mobile/lib/extensions/asset_extensions.dart,1281
mobile/lib/extensions/asyncvalue_extensions.dart,1276
mobile/lib/extensions/build_context_extensions.dart,1233
mobile/lib/extensions/collection_extensions.dart,2576
mobile/lib/extensions/datetime_extensions.dart,1682
mobile/lib/extensions/duration_extensions.dart,263
mobile/lib/extensions/latlngbounds_extension.dart,654
mobile/lib/extensions/maplibrecontroller_extensions.dart,2494
mobile/lib/extensions/response_extensions.dart,151
mobile/lib/extensions/string_extensions.dart,726
mobile/lib/mixins/error_logger.mixin.dart,1160
mobile/lib/models/asset_selection_state.dart,1618
mobile/lib/providers/activity.provider.dart,2463
mobile/lib/providers/activity.provider.g.dart,5886
mobile/lib/providers/activity_service.provider.dart,350
mobile/lib/providers/activity_service.provider.g.dart,938
mobile/lib/providers/activity_statistics.provider.dart,737
mobile/lib/providers/activity_statistics.provider.g.dart,5904
mobile/lib/providers/api.provider.dart,236
mobile/lib/providers/api.provider.g.dart,847
mobile/lib/providers/app_life_cycle.provider.dart,4054
mobile/lib/providers/app_settings.provider.dart,290
mobile/lib/providers/app_settings.provider.g.dart,946
mobile/lib/providers/archive.provider.dart,845
mobile/lib/providers/asset.provider.dart,12085
mobile/lib/providers/authentication.provider.dart,7314
mobile/lib/providers/db.provider.dart,206
mobile/lib/providers/favorite_provider.dart,852
mobile/lib/providers/gallery_permission.provider.dart,3848
mobile/lib/providers/haptic_feedback.provider.dart,1390
mobile/lib/providers/immich_logo_provider.dart,371
mobile/lib/providers/immich_logo_provider.g.dart,887
mobile/lib/providers/memory.provider.dart,367
mobile/lib/providers/multiselect.provider.dart,124
mobile/lib/providers/notification_permission.provider.dart,1479
mobile/lib/providers/oauth.provider.dart,271
mobile/lib/providers/partner.provider.dart,2040
mobile/lib/providers/server_info.provider.dart,5681
mobile/lib/providers/shared_link.provider.dart,885
mobile/lib/providers/tab.provider.dart,222
mobile/lib/providers/trash.provider.dart,4699
mobile/lib/providers/upload_profile_image.provider.dart,2814
mobile/lib/providers/user.provider.dart,2113
mobile/lib/providers/websocket.provider.dart,10035
mobile/lib/routing/auth_guard.dart,1690
mobile/lib/routing/backup_permission_guard.dart,567
mobile/lib/routing/custom_transition_builders.dart,885
mobile/lib/routing/duplicate_guard.dart,578
mobile/lib/routing/router.dart,9685
mobile/lib/routing/router.gr.dart,35821
mobile/lib/routing/tab_navigation_observer.dart,2574
mobile/lib/services/activity.service.dart,2276
mobile/lib/services/album.service.dart,14520
mobile/lib/services/api.service.dart,4744
mobile/lib/services/app_settings.service.dart,2722
mobile/lib/services/asset.service.dart,8561
mobile/lib/services/asset_description.service.dart,1726
mobile/lib/services/asset_stack.service.dart,1963
mobile/lib/services/background.service.dart,19496
mobile/lib/services/backup.service.dart,17181
mobile/lib/services/backup_verification.service.dart,7788
mobile/lib/services/hash.service.dart,5415
mobile/lib/services/image_viewer.service.dart,3549
mobile/lib/services/immich_logger.service.dart,4074
mobile/lib/services/local_notification.service.dart,4695
mobile/lib/services/localization.service.dart,1078
mobile/lib/services/map.service.dart,1043
mobile/lib/services/memory.service.dart,1663
mobile/lib/services/oauth.service.dart,1165
mobile/lib/services/partner.service.dart,2516
mobile/lib/services/person.service.dart,1778
mobile/lib/services/person.service.g.dart,907
mobile/lib/services/search.service.dart,4113
mobile/lib/services/server_info.service.dart,1990
mobile/lib/services/share.service.dart,2330
mobile/lib/services/shared_link.service.dart,3494
mobile/lib/services/sync.service.dart,32757
mobile/lib/services/trash.service.dart,1703
mobile/lib/services/user.service.dart,3473
mobile/lib/utils/async_mutex.dart,624
